#{"t_start": 1638295899.3300903, "env_id": "AntBulletEnv-v0"}
r,l,t
447.747467,1000,23.420755
410.510511,1000,47.537573
77.952414,171,54.914562
499.471696,1000,78.674967
487.738174,1000,102.597277
423.877767,1000,125.504711
543.143012,1000,149.261933
579.523856,1000,172.898185
554.977606,1000,191.806316
611.706677,1000,215.919808
673.045698,1000,239.915227
696.792982,1000,264.011912
-1.693582,20,264.288607
667.231924,1000,288.208198
705.491582,1000,311.976806
739.743067,1000,335.483552
784.937002,1000,359.411383
878.23243,1000,383.155906
799.714137,1000,406.780934
937.023167,1000,430.392066
875.025741,1000,454.070279
747.640534,1000,477.670754
1142.818021,1000,501.725998
1140.89703,1000,525.70436
984.294677,1000,549.768596
1126.855706,1000,572.888235
1215.727868,1000,596.59136
1199.620186,1000,620.650701
1261.907967,1000,644.308145
1119.565328,1000,668.049229
1301.369618,1000,692.109961
1255.588786,1000,710.929635
1378.243662,1000,734.949264
1382.126048,1000,758.698864
1408.315993,1000,782.378062
1455.906852,1000,806.359701
1524.012721,1000,830.177958
1531.995639,1000,854.341639
1637.905579,1000,878.01686
1645.73121,1000,901.711881
1605.710795,1000,925.160545
1706.797881,1000,948.13696
1689.873729,1000,971.868546
1665.789887,1000,995.608998
1784.1283,1000,1019.428444
1816.617976,1000,1043.038002
1843.457422,1000,1066.541601
1872.63683,1000,1090.287295
1867.36277,1000,1113.80787
1901.708812,1000,1137.568656
1934.785974,1000,1161.067646
1902.155591,1000,1185.966305
1867.497079,1000,1204.110338
1946.007193,1000,1226.625411
1959.365477,1000,1249.842449
1965.8473,1000,1272.957207
2046.411482,1000,1296.679184
2044.396297,1000,1320.412218
2058.33594,1000,1343.637169
2056.777615,1000,1366.897373
1987.611689,1000,1390.169628
2117.375326,1000,1413.353475
2065.421584,1000,1436.248047
2113.683794,1000,1459.417384
2134.496376,1000,1482.534041
2070.548672,1000,1505.724352
2120.153407,1000,1528.86228
2136.655998,1000,1552.048006
2112.188583,1000,1574.808477
2108.654423,1000,1597.845456
2189.904894,1000,1620.875026
2183.283543,1000,1644.059222
2262.956376,1000,1667.166649
2263.723096,1000,1685.053481
2211.250335,1000,1708.497401
2335.891822,1000,1731.932147
2319.770309,1000,1755.367516
2310.310527,1000,1778.713998
2370.778396,1000,1802.179431
2308.193635,1000,1825.635561
2378.345257,1000,1849.28985
2407.104747,1000,1872.897066
2337.719226,1000,1896.074955
2145.601905,1000,1919.527347
2424.779495,1000,1943.16093
2375.266153,1000,1966.471212
2397.405046,1000,1989.174721
2486.71778,1000,2012.16491
2460.698478,1000,2035.090134
2392.563663,1000,2057.096643
2449.503754,1000,2080.040353
2420.280564,1000,2102.003194
2375.820018,1000,2124.98489
2530.353451,1000,2147.065984
2456.708935,1000,2169.275716
2490.607681,1000,2186.870262
2587.980985,1000,2209.419627
2583.742538,1000,2231.120932
2612.803582,1000,2253.378361
2631.824286,1000,2275.356786
2635.039949,1000,2298.16779
2551.88687,1000,2321.198348
2656.731929,1000,2344.003544
2599.845101,1000,2366.821676
2668.134641,1000,2389.6343
2645.55007,1000,2412.496641
2503.832917,1000,2435.302708
2557.324795,1000,2458.019603
2739.771503,1000,2480.896335
2707.87493,1000,2503.707083
2687.776144,1000,2526.845062
2798.399875,1000,2549.635398
2755.908179,1000,2572.30293
2706.672197,1000,2595.231092
2680.412194,1000,2618.268087
2756.50544,1000,2641.045824
2721.882055,1000,2659.405762
2881.049723,1000,2682.492387
2770.422813,1000,2705.448433
2890.79814,1000,2728.484617
2912.916504,1000,2751.551358
2809.305275,1000,2774.52208
2785.043747,1000,2797.66467
2776.476894,1000,2820.538959
2830.955637,1000,2842.388141
2788.767762,1000,2864.168499
2837.909259,1000,2886.885698
